Frame,So_Xe,FPS
1,7,0.07
2,7,2.41
3,7,4.35
4,7,5.55
5,7,6.71
6,7,7.61
7,7,8.53
8,7,9.16
9,7,9.84
10,7,10.2
11,7,10.57
12,7,10.73
13,7,10.96
14,7,11.05
15,7,11.19
16,7,11.63
17,7,11.7
18,7,11.87
19,7,11.83
20,7,12.0
21,7,12.2
22,7,12.35
23,7,12.47
24,7,12.59
25,7,12.62
26,7,12.73
27,7,12.52
28,7,12.51
29,7,12.36
30,7,12.3
31,7,12.37
32,7,12.25
33,7,12.33
34,7,12.16
35,7,12.16
36,7,12.17
37,7,12.28
38,7,12.23
39,7,11.91
40,7,12.18
41,7,12.34
42,7,11.97
43,9,11.78
44,9,11.72
45,10,11.79
46,10,11.55
47,10,11.54
48,12,11.65
49,12,11.75
50,12,11.77
51,12,11.42
52,13,11.43
53,13,11.31
54,13,11.43
55,13,11.52
56,13,11.67
57,13,11.57
58,13,11.62
59,13,11.47
60,13,11.19
61,13,11.39
62,13,11.55
63,13,11.56
64,15,11.39
65,15,11.51
66,15,11.5
67,15,11.4
68,17,11.32
69,17,11.19
70,18,11.22
71,15,11.36
72,15,11.28
73,16,11.47
74,16,11.65
75,16,11.56
76,17,11.64
77,17,11.6
78,17,11.65
79,17,11.61
80,16,11.73
81,16,11.53
82,17,11.34
83,17,11.14
84,17,11.22
85,17,11.15
86,17,11.14
87,17,10.98
88,18,11.1
89,17,11.26
90,17,11.37
91,17,10.94
92,19,10.83
93,18,10.77
94,18,10.37
95,18,10.45
96,16,10.47
97,16,10.06
98,15,10.28
99,15,10.28
100,16,10.19
101,16,10.34
102,16,10.38
103,18,10.28
104,17,10.33
105,17,10.28
106,17,10.06
107,17,10.29
108,14,10.45
109,14,10.3
110,14,10.43
111,14,10.28
112,14,9.96
113,14,10.08
114,14,10.01
115,15,10.05
116,15,9.74
117,15,9.89
118,15,9.68
119,15,9.82
120,15,9.8
121,15,9.95
122,15,9.94
123,15,9.78
124,16,9.7
125,16,10.0
126,16,9.77
127,16,9.73
128,17,9.87
129,18,9.77
130,18,10.04
131,18,9.89
132,18,9.97
133,18,10.21
134,17,10.04
135,17,10.1
136,17,10.19
137,18,10.1
138,18,10.19
139,18,10.41
140,17,10.31
141,15,10.16
142,17,10.22
143,17,10.08
144,17,9.93
145,17,9.81
146,17,9.93
147,17,9.6
148,18,9.7
149,18,9.66
150,18,9.65
151,18,9.6
152,17,9.84
153,18,9.7
154,19,9.82
155,19,9.78
156,20,9.7
157,20,9.6
158,19,9.79
159,20,9.56
160,21,9.69
161,21,9.6
162,21,9.72
163,22,9.62
164,22,9.88
165,20,9.7
166,21,9.87
167,22,9.77
168,24,9.69
169,25,9.75
170,24,9.57
171,26,9.36
172,26,9.51
173,27,9.25
174,27,9.34
175,27,9.4
176,27,9.47
177,27,9.18
178,29,9.21
179,28,9.24
180,29,9.13
181,29,9.22
182,29,9.34
183,28,9.02
184,26,9.06
185,27,8.92
186,28,8.98
187,28,8.94
188,25,9.08
189,27,8.92
190,27,9.09
191,26,9.21
192,26,9.15
193,26,9.17
194,26,9.35
195,26,9.05
196,27,9.05
197,26,9.02
198,28,9.1
199,27,9.09
200,27,9.27
201,26,9.03
202,26,9.12
203,26,8.89
204,27,8.94
205,27,8.95
206,26,9.13
207,27,8.98
208,29,8.96
209,29,8.88
210,30,9.13
211,30,9.09
212,29,9.23
213,29,9.21
214,27,8.98
215,27,8.89
216,27,9.01
217,27,9.11
218,26,9.12
219,26,8.87
220,28,8.99
221,28,9.04
222,28,9.08
223,27,9.12
224,24,9.21
225,24,9.01
226,24,9.13
227,24,9.07
228,24,9.26
229,24,9.32
230,24,9.42
231,25,9.3
232,25,9.42
233,25,9.25
234,26,9.22
235,26,9.21
236,24,9.35
237,25,9.19
238,26,9.31
239,26,9.05
240,27,9.16
241,27,9.19
242,27,9.31
243,25,9.09
244,25,9.18
245,24,9.12
246,25,9.16
247,25,9.14
248,24,9.34
249,24,9.0
250,23,9.03
251,23,9.01
252,22,9.26
253,22,9.3
254,22,9.42
255,22,9.16
256,22,9.41
257,23,9.33
258,26,9.49
259,26,9.47
260,25,9.35
261,26,9.32
262,25,9.53
263,26,9.27
264,27,9.26
265,27,9.33
266,25,9.42
267,25,9.21
268,26,9.26
269,27,9.1
270,27,9.08
271,27,9.13
272,26,9.25
273,26,9.03
274,26,9.11
275,28,9.0
276,28,9.21
277,28,9.2
278,26,9.24
279,25,8.98
280,24,8.95
281,24,9.0
282,24,8.65
283,25,8.35
284,25,8.47
285,25,8.61
286,25,8.58
287,26,8.46
288,26,8.66
289,23,8.86
290,23,9.0
291,24,8.74
292,23,8.81
293,23,8.66
294,24,8.72
295,24,8.92
296,23,9.14
297,23,8.94
298,22,9.01
299,22,9.05
300,22,8.91
301,22,9.01
302,21,9.07
303,21,9.18
304,21,9.06
305,22,9.05
306,22,9.19
307,22,8.73
308,24,8.49
309,24,8.78
310,24,9.01
311,24,8.86
312,24,9.03
313,24,9.22
314,24,9.42
315,24,9.27
316,24,9.34
317,23,9.14
318,23,9.16
319,24,9.12
320,22,8.67
321,22,8.62
322,22,8.69
323,22,8.67
324,22,8.83
325,22,8.89
326,21,9.04
327,21,8.86
328,23,8.97
329,22,9.06
330,22,8.98
331,23,8.98
332,23,9.24
333,20,9.01
334,23,9.05
335,24,8.99
336,26,9.13
337,25,9.15
338,26,8.96
339,29,9.09
340,29,9.08
341,29,9.0
342,29,8.59
343,30,8.31
344,30,8.57
345,30,8.42
346,29,8.6
347,29,7.99
348,30,8.43
349,30,8.84
350,29,9.1
351,29,9.08
352,29,9.26
353,29,9.33
354,29,9.07
355,30,9.03
356,30,9.24
357,30,9.12
358,30,9.15
359,29,9.84
360,28,10.16
361,28,10.19
362,27,10.58
363,29,10.7
364,30,10.99
365,30,11.49
366,30,11.63
367,29,11.57
368,29,11.89
369,31,12.24
370,31,12.49
371,30,12.75
372,29,12.53
373,30,12.67
374,26,13.06
375,26,13.1
376,27,13.51
377,27,13.92
378,28,13.91
379,30,14.57
380,30,14.76
381,30,15.07
382,30,14.57
383,30,14.87
384,30,15.01
385,31,15.05
386,30,14.84
387,30,14.68
388,30,14.76
389,30,14.46
390,30,14.57
391,30,14.79
392,29,15.26
393,30,14.95
394,29,15.2
395,28,15.27
396,29,14.87
397,29,14.12
398,30,14.79
399,30,15.02
400,30,15.33
401,29,15.62
402,29,15.3
403,29,15.11
404,27,14.7
405,29,14.64
406,29,14.55
407,27,14.69
408,27,14.93
409,27,15.18
410,27,14.73
411,27,14.99
412,27,15.17
413,27,14.97
414,25,14.34
415,27,14.59
416,27,14.49
417,29,14.67
418,30,15.03
419,30,15.26
420,30,15.09
421,30,14.8
422,30,14.66
423,31,14.66
424,31,14.78
425,30,15.01
426,31,14.54
427,32,14.08
428,32,13.71
429,32,13.88
430,32,13.65
431,32,13.74
432,32,13.76
433,33,13.95
434,34,13.77
435,33,13.87
436,28,14.06
437,28,14.36
438,30,14.21
439,29,14.16
440,30,13.85
441,31,13.61
442,31,13.51
443,31,13.74
444,30,13.86
445,31,14.05
446,34,13.99
447,33,14.13
448,33,14.38
449,35,14.21
450,37,13.93
451,36,13.93
452,37,14.0
453,38,14.14
454,38,14.06
455,38,14.34
456,36,14.02
457,38,14.01
458,39,14.11
459,39,14.21
460,38,14.46
461,36,14.85
462,36,14.47
463,36,14.39
464,36,14.25
465,37,14.56
466,37,14.54
467,38,14.38
468,38,14.48
469,37,14.24
470,39,14.32
471,39,14.71
472,39,14.77
473,39,14.83
474,39,14.68
475,37,14.82
476,36,14.68
477,36,14.91
478,36,14.95
479,36,14.91
480,35,14.86
481,29,14.63
482,29,14.39
483,30,14.39
484,30,14.5
485,30,14.38
486,30,14.48
487,31,13.95
488,32,14.29
489,32,14.17
490,32,14.29
491,29,14.17
492,30,14.11
493,28,14.29
494,28,14.38
495,29,14.45
496,27,14.39
