Frame,So_Xe,FPS
399,30,22.46
400,30,22.59
401,29,22.76
402,29,22.61
403,29,22.77
404,27,22.46
405,29,22.77
406,29,22.96
407,27,22.92
408,27,22.77
409,27,22.82
410,27,22.65
411,27,22.64
412,27,22.65
413,27,22.71
414,25,22.53
415,27,22.69
416,27,22.52
417,29,22.35
418,30,22.29
419,30,22.37
420,30,22.31
421,30,22.24
422,30,22.07
423,31,22.34
424,31,22.48
425,30,22.74
426,31,22.37
427,32,21.87
428,32,22.25
429,32,22.59
430,32,22.39
431,32,22.38
432,32,22.29
433,33,22.45
434,34,22.07
435,33,22.08
436,28,22.32
437,28,22.57
438,30,22.43
439,29,22.32
440,30,22.01
441,31,22.4
442,31,22.6
443,31,22.86
444,30,21.88
445,31,22.03
446,34,21.73
447,33,21.83
448,33,21.76
449,35,21.79
450,37,22.12
451,36,22.28
452,37,22.06
453,38,22.1
454,38,22.42
455,38,22.65
456,36,22.38
457,38,21.92
458,39,21.9
459,39,22.02
460,38,22.24
461,36,22.49
462,36,22.07
463,36,22.24
464,36,22.07
465,37,22.4
466,37,22.44
467,38,22.27
468,38,22.36
469,37,22.48
470,39,22.27
471,39,22.14
472,39,22.28
473,39,22.46
474,39,22.39
475,37,22.59
476,36,22.32
477,36,22.63
478,36,22.92
479,36,22.81
480,35,22.54
481,29,22.61
482,29,22.32
483,30,22.49
484,30,22.57
485,30,22.29
486,30,22.65
487,31,22.48
488,32,22.53
489,32,22.67
490,32,22.7
491,29,22.49
492,30,22.61
493,28,22.39
494,28,22.26
495,29,22.19
496,27,22.47
497,27,22.64
498,27,22.7
499,26,23.19
500,27,22.82
501,28,22.7
502,28,22.93
503,28,22.87
504,29,23.1
505,27,23.02
506,27,22.67
507,27,22.88
508,27,23.11
509,27,23.12
510,27,22.8
511,26,22.9
512,26,22.79
513,26,22.93
514,24,22.91
515,24,22.91
516,24,23.3
517,24,23.12
518,24,23.22
519,24,22.82
520,22,22.79
521,22,22.7
